code;name;produkmui;nilai;label;ingredients;ing0;ing1;ing2;ing3;ing4;ing5;ing6;ing7;ing8;ing9;ing10;ing11;ing12;ing13;ing14;ing15;ing16;ing17;ing18;ing19;ing20;ing21;ing22;ing23;ing24;ing25;ing26;ing27;ing28;ing29;ing30;ing31;ing32;cert_bodies;expired;homepage;location
568;Delmonte Whole Kernel Corn Fresh Cut;Whole kernel sweet corn,daily fresh;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;Indomaret Snack Kue Dolar;Kue kaktus;3,33333E+15;0;tepung beras,gula,tepung sagu,kacang tanah,santan,telur,wijen;tepung beras; gula; tepung sagu; kacang tanah; santan; telur; wijen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;Huwi Silky Pudding Mango;Premix silky pudding - mango;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;Huwi Silky Pudding Chocolate;Premix silky pudding - chocolate;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;Huwi Silky Pudding Strawberry;Huwi silky pudding rasa cokelat;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;Lovy Butter Cookies Coffeeccino;Clarinta cookies;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;Nissin Mie Goreng Gekikara Ramen Pedas;Mie goreng pedas;3,33333E+15;0;tepung,minyak nabati,tapioka,garam,penstabil,pengatur keasaman,gula,penguat rasa,garam,bubuk cabai,hidrosilat protein nabati,bubul bawang merah,bubuk bawang putih,bubuk jamur,bubuk lada putih,bubuk lada hitam,pewarna,perisa identik alami,bubuk jahe,minyak nabati,minyak bawang putih,minyak atsiri paprika,minyak cabai,wortel,daun bawang,jamur kering,cabai kering,gula aren,ekstrak kedelai,air,garam,kriuk bawang ;mi tepung; minyak nabati; tapioka; garam; penstabil; pengatur keasaman,bumbu gula; penguat rasa; garam; bubuk cabe; hidrosilat protein nabati; bubul bawang merah; bubuk bawang putih; bubuk jamur; bubuk lada putih; bubuk lada hitam; pewarna; perisa identik alami,bubuk jahe minyak minyak nabati; minyak bawang putih; minyak atsiri paprika,minyak cabe sayuran kering wortel; daun bawang; jamur kering; cabe kering kecap manis gula aren; ekstrak kedelai; air; garam kriuk bawang ;;;;;;;;;;;;
584;Agar Rasa Agar Agar Powder Coklat;Samson custard powder rasa coklat;3,33333E+15;0;cokelat bubuk,agar bubuk,karagen,konnyaku bubuk,susu bubuk,pengatur keasaman,kalium sitrat,gula;coklat bubuk; agar bubuk; karagenan; konnyaku bubuk; susu bubuk; pengatur keasaman,kalium sitrat; gula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;Nextar Nastar Cookies Brownies;Cookies nastar lingi;3,33333E+15;0;tepung terigu,gula,lemak nabati,cokelat bubuk,dekstrosa,penstabil gliserin,gula aren,maltodekstrin,garam,pengembang natrium bikarbonat,pengemulsi lesitin kedelai,perisa sintetik Vanili,pengawet kalium sorbat;tepung terigu; gula; lemak nabati; cokelat bubuk ; dekstrosa; penstabil gliserin; gula aren; maltodekstrin; garam; pengembang natrium bikarbonat; pengemulsi lesitin kedelai; perisa sintetik vanila; pengawet kalium sorbat;;;;;;;;;;;;;;;;;;;;;;;;
591;Buavita Juice Mini Orange;Juice orange;3,33333E+15;0;air,sari buah jeruk dengan bulir jeruk,sari buah apel,sukrosa,maltodekstrin,penstabil nabati,perisa sintetik jeruk,pengatur keasaman,vitamin c,pewarna alami beta karoten,pemanis alami glikosida steviol,vitamin a;air; sari buah jeruk dengan bulir jeruk; sari buah apel; sukrosa; maltodekstrin; penstabil nabati; perisa sintetik jeruk; pengatur keasaman; vitamin c; pewarna alami beta karoten; pemanis alami glikosida steviol,vitamin a;;;;;;;;;;;;;;;;;;;;;;;;;;
592;Diamond Juice Unsweet Orange;Juice orange;3,33333E+15;0;air,konsentrat jeruk,penstabil nabati,pengatur keasaman,asam sitrat,perisa alami jeruk;air; konsentrat jeruk; penstabil nabati; pengatur keasaman,asam sitrat; perisa alami jeruk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;Indomaret Bumbu Biji Kemiri;Bumbu kemiri;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;Mr.P Kacang Madu;Kacang mede madu;3,33333E+15;0;kacang,garam,madu,minyak nabati,gula halus;kacang; garam; madu; minyak nabati; gula halus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
595;Cy Double Hot Chocolate Drink;Buybest hot chocolate drink;3,33333E+15;0;gula,krimer,bubuk kakao,penstabil,pengemulsi;gula; krimer; bubuk kakao; penstabil  pengemulsi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;Chocolatos Wafer Roll Mini;Mini roll brownis;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;Oishi Snack Pillows Chocolate;Emmh snack chocolate;3,33333E+15;0;gula,tepung terigu,beras,minyak nabati,antioksidan tbhq,susu bubuk,cokelat bubuk,bubuk whey,garam,pengemulsi,lesitin kedelai,perisa cokelat,vanili;gula; tepung terigu; beras; minyak nabati antioksidan tbhq; susu bubuk; coklat bubuk; bubuk whey; garam; pengemulsi lesitin kedelai; perisa coklat,vanili;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;Oishi Panchos Keripik Jagung Pedas;Keripik jagung nazifa rasa pedas manis;3,33333E+15;0;jagung,minyak nabati,gula,maltodekstrin,garam,cabai,bumbu rasa bbq,bubuk bawang putih,bubuk bawang bombay,penguat rasa,perisa sintetik jagung,perisa alami;jagung; minyak nabati; gula; maltodekstrin; garam; cabe; bumbu rasa bbq; bubuk bawang putih; bubuk bawang bombay; penguat rasa; perisa sintetik jagung; perisa alami;;;;;;;;;;;;;;;;;;;;;;;;;
603;Chiki Snack Balls Chicken;Chicken snack go chick;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604;Chiki Snack Balls Chicken;Chicken snack go chick;3,33333E+15;0;jagung,minyak olein kelapa sawit,beras,bumbu,garam,gula,penguat rasa mononatrium glutamat,dinatrium guanilat,dinatrium inosinat,minyak,lemak nabati,Asam Askorbat,kedelai,minyak bawang;jagung; minyak olein kelapa sawit; beras; bumbu; garam; gula; penguat rasa mononatrium glutamat; dinatrium guanilat,dinatrium inosinat; minyak,lemak nabati; antioksidan asam askorbat; kedelai; minyak bawang;;;;;;;;;;;;;;;;;;;;;;;;;
605;Monde Snack Spicy Tomato;Emmh snack spicy;3,33333E+15;0;beras,jagung,dekstrosa,minyak nabati,gula,whey bubuk,kecap bubuk,telur bubuk,bumbu tomat pedas,penguat rasa mononatrium glutamat,garam,tomat bubuk,cabai bubuk;beras; jagung; dekstrosa; minyak nabati; gula; whey bubuk; kecap bubuk; telur bubuk; bumbu tomat pedas; penguat rasa mononatrium glutamat; garam; tomat bubuk; cabe bubuk;;;;;;;;;;;;;;;;;;;;;;;;
609;Max Creamer Krimer Nabati Non Dairy;Non dairy creamer;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
610;Chiki Balls Snack Chocolate;Emmh snack chocolate;3,33333E+15;0;jagung,minyak olein kelapa sawit,beras,bumbu,cokelat bubuk,beras,kakao bubuk,perisa sintetik cokelat,perisa sintetik pasta cokelat,;jagung; minyak olein kelapa sawit; beras; bumbu; cokelat bubuk; beras; kakao bubuk; perisa sintetik cokelat; perisa sintetik pasta cokelat; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
611;Kraft Cheese Quick Melt;Cheese melt;3,33333E+15;0;air,keju cheddar,minyak nabati,padatan susu,pengemulsi,garam fosfat,mo,digliserida,garam mineral,maltodesktrin,pengatur keasaman,asam laktat,gula,pengawet,kalium sorbat,vitamin a,vitamin b,susu;air; keju cheddar; minyak nabati; padatan susu; pengemulsi garam fosfat; mono  digliserida; garam mineral; maltodesktrin; pengatur keasaman,asam laktat; gula; pengawet kaliun sorbat; vit a; vit b; susu;;;;;;;;;;;;;;;;;;;;;;;
615;Nissin Biscuit Butter Coconut;Borneo butter coconut;3,33333E+15;0;tepung terigu,gula,minyak nabati,kelapa,mentega,garam,pengembang;tepung terigu; gula; minyak nabati; kelapa; mentega; garam; pengembang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
617;Indomaret Mix Nuts;Mix nuts;3,33333E+15;0;kacang koro,kacang tanah,kacang mede,kacang almond,kacang macadamia,gula,garam,minyak nabati,tepung tapioka,bawang putih,daun jeruk purut,ketumbar,madu,penguat rasa mononatrium Glutamat;kacang koro; kacang tanah; kacang mete; kacang almond; kacang macadamia; gula; garam; minyak nabati; tepung tapioka; bawang putih; daun jeruk purut; ketumbar; madu; penguat rasa mononatrium glutamate;;;;;;;;;;;;;;;;;;;;;;;
618;Nextar Strawberry Cookies;Nastar  strawberry;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;Oishi Snack Popcorn Coklat;Popcorn coklat;3,33333E+15;0;gula,jagung berondong,glukosa,lemak susu anhidrat,minyak nabati,krimer nabati,cokelat bubuk,garam,pengemulsi,perisa artifisial cokelat,pengembang,pewarna makanan cokelat ht ci;gula; jagung berondong; glukosa; lemak susu anhidrat; minyak nabati; krimer nabati; coklat bubuk; garam; pengemulsi; perisa artifisial coklat; pengembang,pewarna makanan coklat ht ci;;;;;;;;;;;;;;;;;;;;;;;;;;
623;Mayasi Kacang Jepang Bawang;Kacang bawang primasari;3,33333E+15;0;kacang tanah,pati modifikasi,tepung terigu,gula,minyak kelapa sawit,bumbu rasa bawang,penguat rasa mononatrium glutamat e,Antikempal Silikon Dioksida,bawang putih,pengembang Amonium Bikarbonat,garam,penguat rasa mononatrium glutamat e;kacang tanah; pati modifikasi; tepung terigu; gula; minyak kelapa sawit; bumbu rasa bawang penguat rasa mononatrium glutamat e; antikempal silikon dioksida e; bawang putih; pengembang amonium bikarbonat; garam; penguat rasa monontarium glutamat e;;;;;;;;;;;;;;;;;;;;;;;;;;
624;Buavita Juice Slim Mangga;Juice mangga;3,33333E+15;0;sari buah mangga,sukrosa,perisa mangga,vitamin c,pemantap,pewarna alami anato,ci ;sari buah mangga; sukrosa; perisa mangga; vitamin c; pemantap; pewarna alami anato ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;Aik Cheong Kopi O;Es kopi o;3,33333E+15;0;biji kopi,gula,marjerin,garam;biji kopi; gula; marjerin,garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;Diamond Juice Unsweet Sirsak;Juice sirsak;3,33333E+15;0;air,pure sirsak,pengatur keasaman,asam sitrat,perisa alami sirsak;air; pure sirsak; pengatur keasaman,asam sitrat; perisa alami sirsak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;Air Mancur Madurasa Original;Air mancur  kelmarks;3,33333E+15;0;fruktosa,glukosa,madu,air demineral,perisa identik alami madu,pewarna karamel iii amonia proses,karomoisin ci;fruktosa; glukosa; madu ; air demineral; perisa identik alami madu; pewarna karamel iii amonia proses; karomoisin ci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631;Chui Hiang Pistachio Nuts;Ch mixed nuts,150g;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
633;Potabee Snack Potato Chips Bbq;Hana snack potato bambu rasa bbq;3,33333E+15;0;kentang,minyak kelapa sawit,antioksidan butil hidrokinon tersiertbhq,perisa identik alami sapi panggang,penguat rasa,mononatrium glutamat,dinatrium '- ribonukleotida,ekstrak daging sapi,bubuk lada hitam;kentang; minyak kelapa sawit antioksidan butil hidrokinon tersiertbhq; perisa identik alami sapi panggang penguat rasa mononatrium glutamat; dinatrium  ribonukleotida; ekstrak daging sapi; bubuk lada hitam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
637;Piattos Snack Kentang Kimchi;Kentang stick yosita snack;3,33333E+15;0;tepung kentang,minyak nabati,pati tapioka,bumbu kimchi,gula,garam;tepung kentang ; minyak nabati; pati tapioka; bumbu kimchi; gula; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
638;Pia 100 Kue Pia Kacang Hijau;Kue satuh kacang hijau;3,33333E+15;0;gula,tepung terigu,kacang hijau,minyak nabati,sirup glukosa,penstabil nabati,pengembang natrium hidrogen karbonat,pengawet kalsium propionat,garam,perisa alami vanili,pengaturan keasaman asam sitrat;gula; tepung terigu; kacang hijau ; minyak nabati; sirup glukosa; penstabil nabati; pengembang natrium hidrogen karbonat; pengawet kalsium propionat; garam; perisa alami vanili; pengaturan keasaman asam sitrat;;;;;;;;;;;;;;;;;;;;;;;;;;
641;Air Mancur Madurasa Murni;Air mancur  kelmarks;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;Oishi Snack Suky Suky U,g Manis Pedas;Emping mlinjo pedas manis;3,33333E+15;0;tepung terigu,gula,minyak nabati,antioksidan tbhq,tepung tapioka,glukosa,tepung kentang,cabai,penguat rasa,mononatrium glutamat,u,g,bawang putih,pengemulsi lesitin kedelai,pewarna makanan,tartrazin ci,merah allura;tepung terigu; gula; minyak nabati antioksidan tbhq; tepung tapioka; glukosa; tepung kentang; cabe; penguat rasa mononatrium glutamat; u,g; bawang putih; pengemulsi lesitin kedelai; pewarna makanan tartrazin ci ; merah allura;;;;;;;;;;;;;;;;;;;;;;;;
646;Oishi Snack Stick Rin-Bee Keju;Hana snack stick kentang rasa keju;3,33333E+15;0;tepung terigu,tepung tapioka,minyak nabati,antioksidan tbhq,bubuk keju,pewarna kuning fcf ci,gula,gara,penguat rasa,mononatrium glutamat,pewarna makanan,tartrazin cl ;tepung terigu; tepung tapioka; minyak nabati antioksidan tbhq; bubuk keju pewarna kuning fcf cl ; gula; gara; penguat rasa mononatrium glutamat;,pewarna makanan tartrazin cl ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;Crystalline Air Mineral;Air mineral,aqua;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
648;Indomaret Wafer Stick;Indomaret stick keju;3,33333E+15;0;gula,terigu,minyak nabati,susu bubuk,kakao bubuk,tapioka,kacang mede,multidestrin,lesitin kedelai,pewarna karamel,garam,vanili,pengembang;gula; terigu; minyak nabati; susu bubuk; kakao bubuk; tapioka; kacang mede; multidestrin; lesitin kedelai; pewarna karamel; garam; vanili; pengembang;;;;;;;;;;;;;;;;;;;;;;;;
651;Serena Chocolate Chip Cookies Broniz;Chocolate chip cookies;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
652;Marjan Syrup Squash Orange;Gambino syrup orange;3,33333E+15;0;air,gula pasir,pengatur keasaman,asam sitrat,sari buah jeruk,perisa jeruk,pemantap nabati,pemanis buatan,pengawet natrium benzoat;air; gula pasir; pengatur keasaman,asam sitrat; sari buah jeruk; perisa jeruk; pemantap nabati; pemanis buatan; pengawet natrium benzoat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
653;Indofood Syrup Freiss Orange;Gambino syrup orange;3,33333E+15;0;air,gula,pengatur keasaman,perisa jeruk;air; gula; pengatur keasaman; perisa jeruk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
654;Dj Minuman Kesehatan Alami Gula Asem;Minuman gula asem jawa;3,33333E+15;0;asem,gula jawa,air;asem; gula jawa; air;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
656;Top Coffee Kopi Cappuccino;Coffee roasting kopi abah;3,33333E+15;0;gula,krimer nabati,kopi bubuk,susu skim bubuk,cokelat butir,perisa sintetil cappucino;gula; krimer nabati; kopi bubuk; susu skim bubuk; cokelat butir; perisa sintetil cappucino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;Ichi Ocha Minuman Green Tea;Minuman serbuk green tea;3,33333E+15;0;air,gula,daun teh hijau,pengatur keasaman,natrium bikarbonat,kalium karbonat,Asam Askorbat,perisa identik alami melati;air; gula; daun teh hijau; pengatur keasaman,natrium bikarbonat,kalium karbonat; antioksidan asam askorbat; perisa identik alami melati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;Nu Minuman Green Tea Original;Minuman serbuk green tea;3,33333E+15;0;air,gula,daun teh hijau,perisa identik alami teh melati;air; gula; daun teh hijau; perisa identik alami teh melati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;Lemonia Minuman Sari Lemon;Gifta sari lemon;3,33333E+15;0;jeruk lemon;jeruk lemon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
664;Mister Potato Snack Crisps Original;Hana snack potato bambu rasa original;3,33333E+15;0;tepung kentang,minyak kelapa sawit,tepung tapioka,dekstrosa,garam,gula,rempah-rempah rempah,penguat rasa mononatrium glutamat,e;tepung kentang; minyak kelapa sawit; tepung tapioka; dekstrosa; garam; gula; rempahrempah,penguat rasa mononatrium glutamat e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
669;Verlin Granola Cluster Almond Dark Chocolate;Nutify almond gourmet dark chocolate;3,33333E+15;0;havermut utuh,biji chia,biji flax,kulit gandum beras merah giling,garam laut himalaya,jagung kering giling,madu,gula kelapa,minyak kelapa,rice crispy,dark chocolate;havermut utuh; biji chia; biji flax; kulit gandum beras merah giling; garam laut himalaya; jagung kering giling; madu; gula kelapa; minyak kelapa; rice crispy; dark chocolate;;;;;;;;;;;;;;;;;;;;;;;;;;
670;Frestea Minuman Teh Apel;Minuman teh dalam botol frestea;3,33333E+15;0;air gula,teh,pengatur keasaman,asam sitrat,konsentrat apel,perisa identik alami,Asam Askorbat;air gula; teh ; pengatur keasaman,asam sitrat; konsentrat apel ; perisa identik alami; antioksidan asam askorbat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
671;Frestea Minuman Teh Apel;Minuman teh dalam botol frestea;3,33333E+15;0;air,gula,asam sitrat,konsentrat teh,perisa sari buah apel,vitamin c;air; gula; asam sitrat; konsentrat teh; perisa sari buah apel; vitamin c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
674;Sedaap Mie Instant Soto;Soto mie;3,33333E+15;0;tepung terigu,minyak sayur,garam,pengental nabati,pengatur keasaman,pewarna,tartrazin ci,zat besi,garam,gula,penguat rasa,mononatrium glutamat,perisa ayam,bubuk lada,perisa bawang putih,daun bawamg merah,vitamin a,vitamin b,vitamin b,vitamin b,vitamin b,niasin,asam folat,bubuk cabai,minyak sayur,ramuan soto,serbuk gurih;mi tepung terigu; minyak sayur; garam; pengental nabati; pengatur keasaman; pewarna tartrazin ci ;,zat besi bumbu garam; gula; penguat rasa; mononatrium glutamat; perisa ayam; bubuk lada; perisa bawang putih; daun bawamg merah; vitamin a; b; b; b; b; niasin; asam folat bubuk cabe minyak minyak sayur,ramuan soto serbuk gurih;;;;;;;;;;;;;;;;
675;Sedaap Mie Instant Soto;Soto mie;3,33333E+15;0;wheat flour,refined palm oil,tapioca starch,Garam,acidity regulator,thickener,colour,ferrous fumarate,for fortification of iron,sugar,Garam,flavour enhancer,artificial chicken flavour powder,pepper powder,garlic powder,dried leek,refined palm oil,soto ingredients,garlic,onion,lemongrass,kaffir lime leaf,delicious powder,garlic,tapioca starch,dried leek,dried carrot ;noodle wheat flour ; refined palm oil; tapioca starch; salt; acidity regulator ei; ei; thickener e; colour e; ferrous fumarate for fortification of iron flavouring sugar; salt; flavour enhancer e; artificial chicken flavour powder; pepper powder; garlic powder; dried leek oil refined palm oil; soto ingredients garlic; onion; lemongrass; kaffir lime leaf delicious powder garlic; tapioca starch mixed vegetables dried leek; dried carrot ;;;;;;;;;;;;;;;;
676;Hershey's Delicious Syrup Caramel;Gambino syrup caramel;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;Frestea Minuman Teh Lychee;Minuman teh dalam botol frestea;3,33333E+15;0;air,gula,teh perisa sintetik,pengatur keasaman,asam sitrat,asam fosfat,Glikosida Steviol;air; gula; teh perisa sintetik; pengatur keasaman; asam sitrat; asam fosfat; antioksidan ; pemanis alami glikosida steviol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
679;Hershey's Delicious Syrup Strawberry;Gambino syrup strawberry;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
681;San Carlo Keripik Kentang Classica;Keripik kentang laasania;3,33333E+15;0;kentang,minyak nabati,garam;kentang; minyak nabati; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;Tic Tic Snack Crunchy Stick Bawang;Cheese stick bawang mentari;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
683;San Carlo Keripik Kentang Croccante;Keripik kentang laasania;3,33333E+15;0;kentang,minyak nabati,garam;kentang; minyak nabati; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
684;Mama Mie Instant Noodle Shrimp Tom Yum;Mie instant tom yum,trident migs;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686;Serena Biscuit Short Cake Cream Chocolate;Cream selamat biscuit chocolate;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
687;3 Ayam Mie Telor Super Merah;Java telor ayam kampung merah;3,33333E+15;0;tepung terigu,garam,tepung telur,pemantap,pengatur keasaman,kalium karbonat,natrium karbonat,pewarna tartrazin ci ;tepung terigu; garam; tepung telur; pemantap; pengatur keasaman,kalium karbonat; natrium karbonat; pewarna tartrazin ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
688;A,W Soft Drink Sarsaparila;Soft drink;3,33333E+15;0;air berkarbonasi,gula,beverage base a,w termasuk karamel,pengawet natrium benzoat;air berkarbonasi; gula; beverage base aw termasuk karamel,pengawet natrium benzoat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
689;Big Soft Drink Blueberry;Soft drink;3,33333E+15;0;air berkarbonasi,gula pasir,pengatur keasaman,perisa sintetik blueberry,serat pangan,pengawet natrium benzoat,konsentrat buah blueberry,perisa alami,natrium klorida,pemanis alami glikosida steviol;air berkarbonasi; gula pasir; pengatur keasaman; perisa sintetik blueberry; serat pangan; pengawet natrium benzoat; konsentrat buah blueberry; perisa alami; natrium klorida; pemanis alami glikosida steviol;;;;;;;;;;;;;;;;;;;;;;;;;;;
690;Ichi Ocha Minuman Green Tea Honey;Honey lemon green tea;3,33333E+15;0;air,gula,daun teh hijau,madu,perisa identik alami,pengatur keasaman,natrium bikarbonat,natrium karbonat Asam Askorbat;air; gula; daun teh hijau ; madu ; perisa identikalami; pengatur keasaman,natrium bikarbonat,natrium karbonat antioksidan asam askorbat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691;Marjan Syrup Melon;Gambino syrup melon hijau;3,33333E+15;0;gula pasir,air,sari buah melon,perisa identik alami melon,pengatur keasaman,pewarna tartrazin,ci,Biru Berlian Ci,ci;gula pasir; air; sari buah melon; perisa identik alami melon; pengatur keasaman; pewarna tartrazin ci,biru berlian ci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
692;Big Soft Drink Strawberry;Soft drink fanta strawberry;3,33333E+15;0;air,gula,co,pengatur keasaman,asam sitrat,perisa identik alami stroberi,pengawet natrium benzoat,pewarna karmoisin ci ;air; gula; co; pengatur keasaman,asam sitrat; perisa identik alami stroberi; pengawet natrium benzoat; pewarna karmoisin ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
694;Binggrae flavoured Uht Milk Strawberry;flavoured milk strawberry;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
695;Bintang Zero Soft Drink;Soft drink;3,33333E+15;0;air berkarbonasi,hop,gula,pencita rasa apel,asam sitrat,pengawet natrium benzoat,pewarna karamel;air berkarbonasi; hop; gula; pencita rasa apel; asam sitrat; pengawet natrium benzoat; pewarna karamel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
696;Sariwangi Teh Celup Asli;Teh celup brc;3,33333E+15;0;teh hitam;teh hitam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
697;Samyang Mie Instant Goreng Extreme;Mie seblak goreng instant;3,33333E+15;0;tepung gandum,pati tapioka termodifikasi,minyak goreng kelapa sawit,tepung gluten,garam,penstabil gom guar,perisa sintetik teh hijau,pengatur keasaman,asam sitrat,pewarna ribofalvin,air,ekstrak cabai,lada merah,gula,kecap,bumbu rasa ayam,minyak kedelai,bumbu rasa kari ayam,bawang bombay,bawang putih,lada hitam bubuk,ekstrak paprika,pati termodifikasi;mi tepung gandum; pati tapioka termodifikasi; minyak goreng kelapa sawit; tepung gluten; garam; penstabil gom guar; perisa sintetik teh hijau; pengatur keasaman,asam sitrat; pewarna ribofalvin bumbu air; ekstrak cabe; lada merah; gula; kecap; bumbu rasa ayam; minyak kedelai; bumbu rasa kari ayam; bawang bombay; bawang putih; lada hitam bubuk; ekstrak paprika; pati termodifikasi;;;;;;;;;;;;;;;;
698;Tts Lychees In Syrup;Carica in syrup delicia;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;Sobisco Choco Mania Cookies Chip Rich Chocolate;Julie's chip choco chocolate cookies;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
701;Indomaret Coklat Meisis;Indomaret soes coklat;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;Indomaret Kacang Kulit;Harum sari kacang kulit;3,33333E+15;0;kacang tanah,garam ;kacang tanah ; garam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;Tts Longans In Syrup;Carica in syrup delicia;3,33333E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
705;Indomaret Kacang Kriuk;Kacang atom indomaret;3,33333E+15;0;kacang tanah,garam,tepung tapioka,minyak nabati,bawang putih,bawang merah,gula,ketumbar;kacang tanah; garam; tepung tapioka; minyak nabati; bawang putih; bawang merah; gula; ketumbar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
706;Kayarasa Temulawak Instant;Temulawak instant;3,33333E+15;0;ekstrak temulawak,rempah-rempah rempah,gula pasir murni;ekstrak temulawak; rempahrempah,gula pasir murni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
708;Nescafe Ice Coffee Original;Torenggo coffee original;3,33333E+15;0;air,gula,susu bubuk skim,kopi bubuk instant,lemak susu,pengatur keasaman,pengemulsi lesitin kedelai,perisa susu,penstabil,bubuk kakao;air; gula; susu bubuk skim; kopi bubuk instant; lemak susu; pengatur keasaman; pengemulsi lesitin kedelai; perisa susu; penstabil; bubuk kakao;;;;;;;;;;;;;;;;;;;;;;;;;;;
