,Produk,produkindo,produkmui,produsen,sertif,nilai
546,Anmum Susu Bubuk Ibu Hamil Emesa Coklat|Pediamil susu bubuk rasa coklat|Pt. nutrifood indonesia|00040029270404|0.25,Anmum Susu Bubuk Ibu Hamil Emesa Coklat,Pediamil susu bubuk rasa coklat,Pt. nutrifood indonesia,00040029270404,0.25
1073,Super Instant Nutritious Cereal|Instant plus super|Pt. indo fermex|00210006911197|0.25,Super Instant Nutritious Cereal,Instant plus super,Pt. indo fermex,00210006911197,0.25
39,Pokka Natsbee Drink Honey Lemon|Honey lemon|Madu lebah rayyan|02220016991120|0.25,Pokka Natsbee Drink Honey Lemon,Honey lemon,Madu lebah rayyan,02220016991120,0.25
306,Dj Minuman Kesehatan Alami Kunir|Minuman serbuk kunir instan tazakka|Tazakka|15120037590519|0.25,Dj Minuman Kesehatan Alami Kunir,Minuman serbuk kunir instan tazakka,Tazakka,15120037590519,0.25
756,Nissin Walens Cheese Soes|Nissin wafer rolls cheese|Pt. dua kelinci|00100017571001|0.25,Nissin Walens Cheese Soes,Nissin wafer rolls cheese,Pt. dua kelinci,00100017571001,0.25
309,Indofood Syrup Freiss Cocopandan|Cocopandan syrup|Cv. medina boga persada|01161250400920|0.25,Indofood Syrup Freiss Cocopandan,Cocopandan syrup,Cv. medina boga persada,01161250400920,0.25
1076,Diamond Grains Banana Nana Granola|Granova homemade granola banana walnut|Granova|00100093230119|0.25,Diamond Grains Banana Nana Granola,Granova homemade granola banana walnut,Granova,00100093230119,0.25
33,Chocodrink Belgian Chocolate Taste|Belgian chocolate|Pt. maxx coffee prima|00160105990820|0.25,Chocodrink Belgian Chocolate Taste,Belgian chocolate,Pt. maxx coffee prima,00160105990820,0.25
24,Ellenka Fiber Creme|Ellenka rich creme|Pt. lautan natural krimerindo|00120061610612|0.25,Ellenka Fiber Creme,Ellenka rich creme,Pt. lautan natural krimerindo,00120061610612,0.25
1256,Energen Cereal & Susu Instant Vanila|Roti vanila susu|Esthree|15160029640418|0.25,Energen Cereal & Susu Instant Vanila,Roti vanila susu,Esthree,15160029640418,0.25
1255,Milo Cereal Balls Combo Pack Coklat|Coklat milo|Rumah pizza|1331002631120|0.25,Milo Cereal Balls Combo Pack Coklat,Coklat milo,Rumah pizza,1331002631120,0.25
789,Mr.Hottest Snack Tortilla Chips Maitos Sambal Balado|Mi suka rasa sambal balado|Pkkoppwr zie zie snack|15100043751119|0.25,Mr.Hottest Snack Tortilla Chips Maitos Sambal Balado,Mi suka rasa sambal balado,Pkkoppwr zie zie snack,15100043751119,0.25
56,Buavita Juice Slim Lychee|Lychee juice|Pt bali alam rayya|08120008460316|0.25,Buavita Juice Slim Lychee,Lychee juice,Pt bali alam rayya,08120008460316,0.25
1116,Mujigae Oden|Oden by mujigae|Pt. animo resto primera (mujigae)|00160103190320|0.25,Mujigae Oden,Oden by mujigae,Pt. animo resto primera (mujigae),00160103190320,0.25
714,Potabee Snack Potato Chips Ayam Bakar|Ayam bakar riung tenda|Riung tenda|00160101231219|0.25,Potabee Snack Potato Chips Ayam Bakar,Ayam bakar riung tenda,Riung tenda,00160101231219,0.25
1113,Mujigae Topokki Original|Mamasuka topokki original|Pt. aneka boga nusantara|00090115320221|0.25,Mujigae Topokki Original,Mamasuka topokki original,Pt. aneka boga nusantara,00090115320221,0.25
1211,Nissin Mie Goreng Gekikara Ramen Premium|Gekikara ramen|Hakata genko|00160111021120|0.25,Nissin Mie Goreng Gekikara Ramen Premium,Gekikara ramen,Hakata genko,00160111021120,0.25
194,Chitato Snack Potato Chips Sapi Bumbu Bakar|Bumbu bakar|Unikayo|13200028041220|0.25,Chitato Snack Potato Chips Sapi Bumbu Bakar,Bumbu bakar,Unikayo,13200028041220,0.25
1210,Nissin Mie Instant Gekikara Ramen Pedas|Gekikara ramen|Hakata genko|00160111021120|0.25,Nissin Mie Instant Gekikara Ramen Pedas,Gekikara ramen,Hakata genko,00160111021120,0.25
192,Gery Crackers Malkist Saluut Coklat|Gery malkist salut coklat|Pt. garudafood putra putri jaya tbk|00100014221200|0.25,Gery Crackers Malkist Saluut Coklat,Gery malkist salut coklat,Pt. garudafood putra putri jaya tbk,00100014221200,0.25
191,Gery Crackers Malkist Saluut Coklat Coconut|Gery coconut crackers|Pt. garudafood putra putri jaya tbk|00100014221200|0.25,Gery Crackers Malkist Saluut Coklat Coconut,Gery coconut crackers,Pt. garudafood putra putri jaya tbk,00100014221200,0.25
812,"Meiji Plain Crackers|Plain crackers|Pt. sekar laut, tbk (sidoarjo)|00100109151120|0.25",Meiji Plain Crackers,Plain crackers,"Pt. sekar laut, tbk (sidoarjo)",00100109151120,0.25
182,A.T.B Marie Milk|Julie’s marie milk flavour|Julie’s manufacturing sdn. bhd.|00100084210817|0.25,A.T.B Marie Milk,Julie’s marie milk flavour,Julie’s manufacturing sdn. bhd.,00100084210817,0.25
1164,Indomaret Instant Cup Noodle Ayam Pedas|Yobels abon ayam pedas|Yobels|15010061120820|0.25,Indomaret Instant Cup Noodle Ayam Pedas,Yobels abon ayam pedas,Yobels,15010061120820,0.25
1174,Bernardi Corned Beef|Macaroni corned beef|Pt. pancamitra kreasi kulina|00160108031020|0.25,Bernardi Corned Beef,Macaroni corned beef,Pt. pancamitra kreasi kulina,00160108031020,0.25
170,Biskuat Biscuit Energi Coklat|Bellagio biscuit  rasa coklat|Pt. inkubisc|00100077860716|0.25,Biskuat Biscuit Energi Coklat,Bellagio biscuit  rasa coklat,Pt. inkubisc,00100077860716,0.25
138,Indomaret Kuaci Susu|Fuzo kuaci rasa susu (milk)|Pt. dua kelinci|00100017571001|0.25,Indomaret Kuaci Susu,Fuzo kuaci rasa susu (milk),Pt. dua kelinci,00100017571001,0.25
164,Nescafe Coffee Classic Kemasan Ekonomi|Nescafe classic (black)|Pepper lunch|00160077900716|0.25,Nescafe Coffee Classic Kemasan Ekonomi,Nescafe classic (black),Pepper lunch,00160077900716,0.25
750,Oatbits Biskuit Oat Raisin Kismis|Biskuit oat gandum|Pt. inkubisc|00100077860716|0.25,Oatbits Biskuit Oat Raisin Kismis,Biskuit oat gandum,Pt. inkubisc,00100077860716,0.25
806,Mister Potato Snack Crisps Roasted Beef|Roasted beef|Cv. kenanga|00340105590720|0.25,Mister Potato Snack Crisps Roasted Beef,Roasted beef,Cv. kenanga,00340105590720,0.25
1188,Pronas Corned Beef|Macaroni corned beef|Pt. pancamitra kreasi kulina|00160108031020|0.25,Pronas Corned Beef,Macaroni corned beef,Pt. pancamitra kreasi kulina,00160108031020,0.25
1202,Cip Corned Beef|Macaroni corned beef|Pt. pancamitra kreasi kulina|00160108031020|0.25,Cip Corned Beef,Macaroni corned beef,Pt. pancamitra kreasi kulina,00160108031020,0.25
1195,Abc Sardines Extra Pedas|Extra pedas|Pt. magfood inovasi pangan|00060036430805|0.25,Abc Sardines Extra Pedas,Extra pedas,Pt. magfood inovasi pangan,00060036430805,0.25
196,Chitato Snack Potato Chips Ayam Barbeque|Ayam barbeque|Pt. raos|15160028930118|0.25,Chitato Snack Potato Chips Ayam Barbeque,Ayam barbeque,Pt. raos,15160028930118,0.25
333,Ensure Vanilla|Cendol babe vanilla|Cendol babe|03290027770819			|0.25,Ensure Vanilla,Cendol babe vanilla,Cendol babe,03290027770819			,0.25
117,Nabati Graker Biscuit Crackers Richoco|Nabati graker - graham crackers cokelat|Pt. kaldu sari nabati indonesia|00100062440912|0.25,Nabati Graker Biscuit Crackers Richoco,Nabati graker - graham crackers cokelat,Pt. kaldu sari nabati indonesia,00100062440912,0.25
261,Tango Drink Berry Dremio Dreamy Strawberry|Aleka jelly drink strawberry|Aleka drink|03120027060819			|0.25,Tango Drink Berry Dremio Dreamy Strawberry,Aleka jelly drink strawberry,Aleka drink,03120027060819			,0.25
280,Red Bull Gold Energy Drink Can|Gold taro bilani drink|Bilani|03120026770719			|0.25,Red Bull Gold Energy Drink Can,Gold taro bilani drink,Bilani,03120026770719			,0.25
1115,Mujigae Jajangmyeon|Jajangmyeon by mujigae|Pt. animo resto primera (mujigae)|00160103190320|0.25,Mujigae Jajangmyeon,Jajangmyeon by mujigae,Pt. animo resto primera (mujigae),00160103190320,0.25
1197,Abc Sardines Chili|Abc tropical chili sauce|Pt. heinz abc indonesia|00060010310699|0.25,Abc Sardines Chili,Abc tropical chili sauce,Pt. heinz abc indonesia,00060010310699,0.25
1117,Mujigae Kimchi|Kimchi by mujigae|Pt. animo resto primera (mujigae)|00160103190320|0.25,Mujigae Kimchi,Kimchi by mujigae,Pt. animo resto primera (mujigae),00160103190320,0.25
720,Piattos Premium Snack Kentang Sambal Geprek With Barbeque|Jack'njill piattos - makanan ringan kentang rasa sambal geprek|Pt. urc indonesia|00100042041006|0.25,Piattos Premium Snack Kentang Sambal Geprek With Barbeque,Jack'njill piattos - makanan ringan kentang rasa sambal geprek,Pt. urc indonesia,00100042041006,0.25
267,Kratingdaeng Energy Drink Super|Energy drink|Pt. wijaya putra samudra|01281250671020|0.25,Kratingdaeng Energy Drink Super,Energy drink,Pt. wijaya putra samudra,01281250671020,0.25
87,Carnation Kental Manis|Frisian flag susu kental manis|Pt. frisian flag indonesia|00040040520606|0.25,Carnation Kental Manis,Frisian flag susu kental manis,Pt. frisian flag indonesia,00040040520606,0.25
726,"Pada Suka Kue Phia 5'S Kacang Hitam|Phia kacang hitam|Pt. matahari putra prima, tbk|00160103310320|0.25",Pada Suka Kue Phia 5'S Kacang Hitam,Phia kacang hitam,"Pt. matahari putra prima, tbk",00160103310320,0.25
800,Monde Biscuit Fried Cookies|Monde - kukis ( fried cookies )|Pt. nissin biscuits indonesia|00100039300306|0.25,Monde Biscuit Fried Cookies,Monde - kukis ( fried cookies ),Pt. nissin biscuits indonesia,00100039300306,0.25
258,Tango Drink Velluto Italian Choco|Gold choco love bilani drink|Bilani|03120026770719			|0.25,Tango Drink Velluto Italian Choco,Gold choco love bilani drink,Bilani,03120026770719			,0.25
796,Monde Biscuit Soft Pie Strawberi|Sumaco soft pie|Pt. jadi abadi corak biscuit factory indonesia| 00100039350306|0.25,Monde Biscuit Soft Pie Strawberi,Sumaco soft pie,Pt. jadi abadi corak biscuit factory indonesia, 00100039350306,0.25
108,Kraft Oreo Selection Biscuit Assorted|Bellagio biscuit  assorted|Pt. inkubisc|00100077860716|0.25,Kraft Oreo Selection Biscuit Assorted,Bellagio biscuit  assorted,Pt. inkubisc,00100077860716,0.25
234,Luwak White Koffie Tarik Malaka|Luwak white coffee|Kedai suka-suka|06160015660320|0.25,Luwak White Koffie Tarik Malaka,Luwak white coffee,Kedai suka-suka,06160015660320,0.25
223,Abc Kopi Instant Kopi&Gula+Susu|Kopi abc white coffe|Kopita jaya|02160017761220|0.25,Abc Kopi Instant Kopi&Gula+Susu,Kopi abc white coffe,Kopita jaya,02160017761220,0.25
745,Oatbits Oat8 Biscuit Havermout Kacang Ijo|Jus kacang ijo|Annoor|03120025420619			|0.25,Oatbits Oat8 Biscuit Havermout Kacang Ijo,Jus kacang ijo,Annoor,03120025420619			,0.25
203,Khong Guan Biscuit Red Segi Assorted|Khong guan biskuit marie|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.25,Khong Guan Biscuit Red Segi Assorted,Khong guan biskuit marie,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.25
199,Hijra Kurma Tunisia|Kurma|Timtim|224/spkp/mui-jatim|0.25,Hijra Kurma Tunisia,Kurma,Timtim,224/spkp/mui-jatim,0.25
1027,Alpenliebe Candy Karamel Chocolate|Nutri-c chocolate candy|Pt. nutrifood indonesia|00110084410817|0.25,Alpenliebe Candy Karamel Chocolate,Nutri-c chocolate candy,Pt. nutrifood indonesia,00110084410817,0.25
452,"Glico Biscuit Pocky Colourful|Pocky almond|Thai glico co., ltd.|00100078150816|0.25",Glico Biscuit Pocky Colourful,Pocky almond,"Thai glico co., ltd.",00100078150816,0.25
570,East Bali Rosella Hibiscus Tea|Thai tea rosella|Pt. santino|17120015111114|0.25,East Bali Rosella Hibiscus Tea,Thai tea rosella,Pt. santino,17120015111114,0.25
367,Lay's Snack Potato Chips Salmon Teriyaki|Salmon teriyaki|Hakata genko|00160111021120|0.25,Lay's Snack Potato Chips Salmon Teriyaki,Salmon teriyaki,Hakata genko,00160111021120,0.25
862,"Indomaret Teng Teng Noga Kacang Wijen|Kacang atom indomaret|Gangsar, ud|07100025710415|0.25",Indomaret Teng Teng Noga Kacang Wijen,Kacang atom indomaret,"Gangsar, ud",07100025710415,0.25
521,Kartika Toast Almond Bites|Silver queen bites almond|Pt. ceres|00110040600606|0.25,Kartika Toast Almond Bites,Silver queen bites almond,Pt. ceres,00110040600606,0.25
894,San Carlo Keripik Kentang Piu Gusto Lime|Keripik kentang laasania|Laasania|15100044111219|0.25,San Carlo Keripik Kentang Piu Gusto Lime,Keripik kentang laasania,Laasania,15100044111219,0.25
365,Lay's Snack Potato Chips Nori Seaweed|Dlala original potato chips|Dlala|00100115540221|0.25,Lay's Snack Potato Chips Nori Seaweed,Dlala original potato chips,Dlala,00100115540221,0.25
528,Japota Potato Chips Umami Japanese Seaweed|Dlala original potato chips|Dlala|00100115540221|0.25,Japota Potato Chips Umami Japanese Seaweed,Dlala original potato chips,Dlala,00100115540221,0.25
619,Orchid Butter|Butter blending|Melessi|17040032320817|0.25,Orchid Butter,Butter blending,Melessi,17040032320817,0.25
863,Indomaret Tempura Seaweed|Seafood tempura seaweed|Pt. jaya wira jerindo|00160100321119|0.25,Indomaret Tempura Seaweed,Seafood tempura seaweed,Pt. jaya wira jerindo,00160100321119,0.25
530,Hatari Jam Biscuit Peanut|Golite granola peanut butter &amp; jam|Golite|01101161420316|0.25,Hatari Jam Biscuit Peanut,Golite granola peanut butter &amp; jam,Golite,01101161420316,0.25
552,Anmum Susu Ibu Hamil Materna Strawberry White Chocolate|Lovamil ibu hamil strawberry|Pt. sanghiang perkasa|00040011611299|0.25,Anmum Susu Ibu Hamil Materna Strawberry White Chocolate,Lovamil ibu hamil strawberry,Pt. sanghiang perkasa,00040011611299,0.25
1052,22 Seafood Salmon Portion|Bola salmon (sunfish)|Pt. indo seafood|15030029130318|0.25,22 Seafood Salmon Portion,Bola salmon (sunfish),Pt. indo seafood,15030029130318,0.25
500,Khong Guan Crackers Saltcheese Barbeque|Jans bbq crackers|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.25,Khong Guan Crackers Saltcheese Barbeque,Jans bbq crackers,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.25
488,Kraft Sandwich Oreo Coklat (Vanila)|Selai coklat oreo|Pt. raos|15160028930118|0.25,Kraft Sandwich Oreo Coklat (Vanila),Selai coklat oreo,Pt. raos,15160028930118,0.25
1020,Big Babol Candy Bubble Gum 5'S Melon Anggur|Big babol rasa melon anggur / big babol melon grape|Pt. perfetti van melle indonesia|00110011141099|0.25,Big Babol Candy Bubble Gum 5'S Melon Anggur,Big babol rasa melon anggur / big babol melon grape,Pt. perfetti van melle indonesia,00110011141099,0.25
939,Taro Snack Potato Barbeque|Potato barbeque|Cv. lautan boga pratama|00060085331017|0.25,Taro Snack Potato Barbeque,Potato barbeque,Cv. lautan boga pratama,00060085331017,0.25
385,Kusuka Cassava Snack Barbeque|Keripik talas barbeque merak|Pprinslt merak snack|15100044071219|0.25,Kusuka Cassava Snack Barbeque,Keripik talas barbeque merak,Pprinslt merak snack,15100044071219,0.25
968,Stt French Fries 2000 Premium|French fries|Pt. dayatama polanusa|05160015320818|0.25,Stt French Fries 2000 Premium,French fries,Pt. dayatama polanusa,05160015320818,0.25
433,Boncha Brick-O Cokelat Biskuit|Biskuit cokelat|C.v. inti soekensan pangan|17100054690420|0.25,Boncha Brick-O Cokelat Biskuit,Biskuit cokelat,C.v. inti soekensan pangan,17100054690420,0.25
428,Cheetos Snack Puffs Cheddar Cheese|Amul processed cheddar cheese|Kdcmpul|00040099811119|0.25,Cheetos Snack Puffs Cheddar Cheese,Amul processed cheddar cheese,Kdcmpul,00040099811119,0.25
409,Delfi Custas Soft Cup Cake Orion|Cup cake buttercream|Esthree|15160029640418|0.25,Delfi Custas Soft Cup Cake Orion,Cup cake buttercream,Esthree,15160029640418,0.25
979,Indomaret Rengginang|Nh rengginang|Ppkopkdl nh|15100045350320|0.25,Indomaret Rengginang,Nh rengginang,Ppkopkdl nh,15100045350320,0.25
498,Khong Guan Crackers Saltcheese Regular|Jans bbq crackers|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.25,Khong Guan Crackers Saltcheese Regular,Jans bbq crackers,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.25
868,5 Days Croissant Chocolate|Croissant chocolate|Pt. pancamitra kreasi kulina|00160108031020|0.25,5 Days Croissant Chocolate,Croissant chocolate,Pt. pancamitra kreasi kulina,00160108031020,0.25
497,Khong Guan Crackers+Wafer Saltcheese Combo|Jans combo cheez|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.25,Khong Guan Crackers+Wafer Saltcheese Combo,Jans combo cheez,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.25
937,Taro Snack Seaweed|Gurih-ya seaweed|Gurih-ya|00060105030720|0.25,Taro Snack Seaweed,Gurih-ya seaweed,Gurih-ya,00060105030720,0.25
386,Krisbee Snack Pillow Choco Lava|Emmh snack choco milk|Emmh snack indonesia|07100071130120|0.25,Krisbee Snack Pillow Choco Lava,Emmh snack choco milk,Emmh snack indonesia,07100071130120,0.25
496,Khong Guan Crackers Saltcheese Combociz|Jans bbq crackers|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.25,Khong Guan Crackers Saltcheese Combociz,Jans bbq crackers,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.25
515,Kartika Toast Soesnack Chocolate|Toast chocolate|Cv. khariza inti boga|03160024250419|0.25,Kartika Toast Soesnack Chocolate,Toast chocolate,Cv. khariza inti boga,03160024250419,0.25
893,San Carlo Keripik Kentang Piu Gusto Paprika|Keripik kentang laasania|Laasania|15100044111219|0.25,San Carlo Keripik Kentang Piu Gusto Paprika,Keripik kentang laasania,Laasania,15100044111219,0.25
436,Biskuat Biscuit Original|Biskuat original|Pt. mega global food industry|00100083350617|0.25,Biskuat Biscuit Original,Biskuat original,Pt. mega global food industry,00100083350617,0.25
879,Sie/Kim Teng-Teng|Teng-teng merk niasa|Niasa|01101194770817|0.25,Sie/Kim Teng-Teng,Teng-teng merk niasa,Niasa,01101194770817,0.25
573,Dilmah Greean Tea Jasmine Petals 20's Envelope|Dilmah tea jasmine (sjg)|Pt. david roy indonesia|00120070391014|0.25,Dilmah Greean Tea Jasmine Petals 20's Envelope,Dilmah tea jasmine (sjg),Pt. david roy indonesia,00120070391014,0.25
1021,Big Babol Candy Stick Blueberry|Stick roll cheese|Po. blueberry|00160090840918|0.25,Big Babol Candy Stick Blueberry,Stick roll cheese,Po. blueberry,00160090840918,0.25
489,Kraft Sandwich Oreo Chocolate Creme|Oreo chocolate cream-chocolate  sandwich cookies with chocolate cream|Mondelez indonesia manufacturing|00100039270306|0.25,Kraft Sandwich Oreo Chocolate Creme,Oreo chocolate cream-chocolate  sandwich cookies with chocolate cream,Mondelez indonesia manufacturing,00100039270306,0.25
423,Chitato Snack Potato Chips Ayam Bumbu|Dlala original potato chips|Dlala|00100115540221|0.25,Chitato Snack Potato Chips Ayam Bumbu,Dlala original potato chips,Dlala,00100115540221,0.25
345,Happytos Snack Tortila Chips Hijau|Rempeyek kacang hijau|Ananda snack|05100022301220|0.25,Happytos Snack Tortila Chips Hijau,Rempeyek kacang hijau,Ananda snack,05100022301220,0.25
1036,Kit Kat Chocolate 4 Fingers|Nestle kit kat mini milk chocolate|Nestle products (malaysia) sdn. bhd.|00110020380502|0.25,Kit Kat Chocolate 4 Fingers,Nestle kit kat mini milk chocolate,Nestle products (malaysia) sdn. bhd.,00110020380502,0.25
888,Selma Pumpkin Seeds|Pumpkin seeds (topping)|Pt salad segar lestari|00160116550321|0.25,Selma Pumpkin Seeds,Pumpkin seeds (topping),Pt salad segar lestari,00160116550321,0.25
348,Happytos Snack Tortila Chips Merah|Snack citos beras merah|Nomnom|01101224090219|0.25,Happytos Snack Tortila Chips Merah,Snack citos beras merah,Nomnom,01101224090219,0.25
909,Roma Biscuit Susu+Selai Slai O'lai Blueberry|Roma slai o lai blueberry|Pt. mayora indah tbk|00100014301200|0.25,Roma Biscuit Susu+Selai Slai O'lai Blueberry,Roma slai o lai blueberry,Pt. mayora indah tbk,00100014301200,0.25
440,Hampton Shortbread Pure Butter Chocolate|Chocolate almond butter nichoa chocolate|Nichoa chocolatte	|15110061880920|0.25,Hampton Shortbread Pure Butter Chocolate,Chocolate almond butter nichoa chocolate,Nichoa chocolatte	,15110061880920,0.25
342,S-26 Procal Susu Bubuk Pertumbuhan 3 Vanilla|Frisian flag susu bubuk rasa vanilla|Pt. frisian flag indonesia|00040040520606|0.25,S-26 Procal Susu Bubuk Pertumbuhan 3 Vanilla,Frisian flag susu bubuk rasa vanilla,Pt. frisian flag indonesia,00040040520606,0.25
643,Pondan Brownies Kukus / Panggang Chocolate| brownies kukus|Cv.ka+kha catering|05160019741020|0.25,Pondan Brownies Kukus / Panggang Chocolate, brownies kukus,Cv.ka+kha catering,05160019741020,0.25
549,Dancow Fortigro Susu Bubuk Instant Polybag|Milko susu bubuk instant rasa original|Pt. milko beverage industry|00040047600408|0.25,Dancow Fortigro Susu Bubuk Instant Polybag,Milko susu bubuk instant rasa original,Pt. milko beverage industry,00040047600408,0.25
454,Gery Snack Sereal|Sereal|Muesly|13120025310920|0.25,Gery Snack Sereal,Sereal,Muesly,13120025310920,0.25
531,Japota Potato Chips Happy Honey Butter|Dlala original potato chips|Dlala|00100115540221|0.25,Japota Potato Chips Happy Honey Butter,Dlala original potato chips,Dlala,00100115540221,0.25
885,Serena Caramelised Biscuit Troy|Pink biscuit|Pt. serena indopangan industri|00100040660306|0.25,Serena Caramelised Biscuit Troy,Pink biscuit,Pt. serena indopangan industri,00100040660306,0.25
1051,Bihophar Acacia Honey|Makuka honey|Makuka honey|05120019520320|0.25,Bihophar Acacia Honey,Makuka honey,Makuka honey,05120019520320,0.25
569,Enam Tiga Premium Tea 20's Assorted|Ocha|Oza premium tea|01121247180620|0.25,Enam Tiga Premium Tea 20's Assorted,Ocha,Oza premium tea,01121247180620,0.25
1034,Milo Chocolate Nuggets|Nestle milo nuggets|Nestle products (malaysia) sdn. bhd.|00110020380502|0.25,Milo Chocolate Nuggets,Nestle milo nuggets,Nestle products (malaysia) sdn. bhd.,00110020380502,0.25
178,Arnott's Biscuit Nyam Nyam Fantasy Stick Choco Berry|Biskuit colek dengan krim cokelat dan krim vanilla (nyam nyam fantasy stick choco vanilla)|Pt. arnott`s indonesia|00100027970104|0.23529411764705882,Arnott's Biscuit Nyam Nyam Fantasy Stick Choco Berry,Biskuit colek dengan krim cokelat dan krim vanilla (nyam nyam fantasy stick choco vanilla),Pt. arnott`s indonesia,00100027970104,0.23529411764705882
286,Hemaviton Health Drink C1000 + Collagen Orange|Hemaviton c 1000 + collagen 1000 mg rasa orange (botol)|Pt. tempo scan pacific tbk|00120057970111|0.23529411764705882,Hemaviton Health Drink C1000 + Collagen Orange,Hemaviton c 1000 + collagen 1000 mg rasa orange (botol),Pt. tempo scan pacific tbk,00120057970111,0.23529411764705882
541,Sgm Eksplor 5+ Pro-Gressmaxx Madu Susu Pertumbuhan (Sekolah)|Sgm eksplor 1plus madu|Pt. sarihusada generasi mahardhika|00050010620899|0.23076923076923078,Sgm Eksplor 5+ Pro-Gressmaxx Madu Susu Pertumbuhan (Sekolah),Sgm eksplor 1plus madu,Pt. sarihusada generasi mahardhika,00050010620899,0.23076923076923078
544,Anmum Susu Bubuk Ibu Hamil Materna Strawberry White Cokelat|Lovamil ibu hamil strawberry|Pt. sanghiang perkasa|00040011611299|0.23076923076923078,Anmum Susu Bubuk Ibu Hamil Materna Strawberry White Cokelat,Lovamil ibu hamil strawberry,Pt. sanghiang perkasa,00040011611299,0.23076923076923078
1039,Kit Kat Chocolate 2 Fingers Multipack|Nestle kit kat mini milk chocolate|Nestle products (malaysia) sdn. bhd.|00110020380502|0.23076923076923078,Kit Kat Chocolate 2 Fingers Multipack,Nestle kit kat mini milk chocolate,Nestle products (malaysia) sdn. bhd.,00110020380502,0.23076923076923078
1061,Cimory Yoghurt Drink Low Fat Strawberry & Mango|Yummy yofit strawberry yoghurt drink|Pt. yummy food utama|00040025190603|0.23076923076923078,Cimory Yoghurt Drink Low Fat Strawberry & Mango,Yummy yofit strawberry yoghurt drink,Pt. yummy food utama,00040025190603,0.23076923076923078
1037,Kit Kat Chocolate 2 Fingers Single|Nestle kit kat mini milk chocolate|Nestle products (malaysia) sdn. bhd.|00110020380502|0.23076923076923078,Kit Kat Chocolate 2 Fingers Single,Nestle kit kat mini milk chocolate,Nestle products (malaysia) sdn. bhd.,00110020380502,0.23076923076923078
510,Khong Guan Crackers + Wafer Saltcheese Combo|Khong guan wafer dengan krim cokelat|Pt. serena indopangan industri|00100040660306|0.23076923076923078,Khong Guan Crackers + Wafer Saltcheese Combo,Khong guan wafer dengan krim cokelat,Pt. serena indopangan industri,00100040660306,0.23076923076923078
297,"Sido Muncul Este-Emje Susu|Minuman serbuk susu jahe sido muncul|Pt. industri jamu dan farmasi sido muncul, tbk.|00120094400319|0.23076923076923078",Sido Muncul Este-Emje Susu,Minuman serbuk susu jahe sido muncul,"Pt. industri jamu dan farmasi sido muncul, tbk.",00120094400319,0.23076923076923078
797,Monde Biscuit Serena Snack Gold|Monde pola snack original|Pt. jadi abadi corak biscuit factory indonesia| 00100039350306|0.23076923076923078,Monde Biscuit Serena Snack Gold,Monde pola snack original,Pt. jadi abadi corak biscuit factory indonesia, 00100039350306,0.23076923076923078
760,Nissin Longer Stick Biscuit|Walens - biskuit stik ( stick biscuit )|Pt. nissin biscuits indonesia|00100039300306|0.23076923076923078,Nissin Longer Stick Biscuit,Walens - biskuit stik ( stick biscuit ),Pt. nissin biscuits indonesia,00100039300306,0.23076923076923078
691,Rebo Kuaci Caramel|Kuaci biji bunga matahari rebo karamel (salted caramel flavor)|Pt. gumindo boga manis|171000000330312|0.23076923076923078,Rebo Kuaci Caramel,Kuaci biji bunga matahari rebo karamel (salted caramel flavor),Pt. gumindo boga manis,171000000330312,0.23076923076923078
1079,Filippo Berio Olive Oil Extra Light|Tropicana slim extra virgin olive oil|Pt. nutrifood indonesia (sovena)|00080103090320|0.23076923076923078,Filippo Berio Olive Oil Extra Light,Tropicana slim extra virgin olive oil,Pt. nutrifood indonesia (sovena),00080103090320,0.23076923076923078
1106,Pororo Minuman Berperisa Blueberry|Minuman yogurt berperisa berperisa blueberry (blueberry good yoghurt drink)yoforia|Pt. prima lakto sehat| 00040092951218|0.23076923076923078,Pororo Minuman Berperisa Blueberry,Minuman yogurt berperisa berperisa blueberry (blueberry good yoghurt drink)yoforia,Pt. prima lakto sehat, 00040092951218,0.23076923076923078
794,Monde Phoenix Roll|Monde - kukis lipat abon ( phoenix roll abon )|Pt. nissin biscuits indonesia|00100039300306|0.23076923076923078,Monde Phoenix Roll,Monde - kukis lipat abon ( phoenix roll abon ),Pt. nissin biscuits indonesia,00100039300306,0.23076923076923078
241,Coolant Cooling Mountain Water Extract Lychee|Three legs cooltopia cooling water lychee|Pt. kino indonesia tbk|00130052591009|0.23076923076923078,Coolant Cooling Mountain Water Extract Lychee,Three legs cooltopia cooling water lychee,Pt. kino indonesia tbk,00130052591009,0.23076923076923078
